"類型 Class","觀 光 遊 憩 區 Scenic Spots","縣 市 別Location","1月Jan.","2月Feb.","3月Mar.","4月Apr.","5月May","6月Jun.","7月Jul.","8月Aug.","9月Sep.","10月Oct.","11月Nov.","12月Dec.","合計Total",,,,,,,,
,"東北角暨宜蘭海岸國家風景區
Northeast and Yilan Coast National Scenic Area",,,,,,,,,,,,,,,,,,,,,,
,"鼻頭港服務區
Bitou Harbor Service Area",新北市 New Taipei City,"11,750 ","10,800 ",9450 ,"11,200 ",11900 ,"11,650 ",12000 ,"13,910 ",13950 ,"9,805 ",12230 ,"9,965 ","138,610 ",,,,,,,,
,"龍洞灣公園
Longdongwan Coast Park",新北市 New Taipei City,"1,624 ","1,902 ",1975 ,"1,956 ",2523 ,"8,128 ",10166 ,"9,027 ",5028 ,"2,568 ",2157 ,"2,002 ","49,056 ",,,,,,,,
,"龍洞南口海洋公園
Longdong South Ocean Park",新北市 New Taipei City,"1,018 ",426 ,1226 ,604 ,1246 ,"7,110 ",12020 ,"8,855 ",2560 ,"1,536 ",761 ,363 ,"37,725 ",,,,,,,,
,"福隆遊客服務中心
Fulong Visitor Center",新北市 New Taipei City,"27,729 ","87,166 ",71702 ,"79,192 ",354736 ,"170,857 ",138988 ,"66,391 ",73837 ,"55,790 ",49422 ,"52,999 ","1,228,809 ",,,,,,,,
國家風景區,"龍門露營區
Longmen Camp Site",新北市 New Taipei City,"1,110 ","1,433 ",3357 ,"5,098 ",5503 ,"5,783 ",6203 ,"5,511 ",4846 ,"9,768 ",5639 ,"3,106 ","57,357 ",,,,,,,,
,"鹽寮海濱公園
Yanliao Beach Park",新北市 New Taipei City,143 ,223 ,229 ,143 ,356 ,"1,162 ",754 ,702 ,246 ,346 ,142 ,102 ,"4,548 ",,,,,,,,
,"福隆蔚藍海岸◎
Fulong Beach",新北市 New Taipei City,"1,299 ","2,636 ",3432 ,"3,904 ",163208 ,"324,231 ",557220 ,"19,266 ",6126 ,"3,123 ",1404 ,549 ,"1,086,398 ",,,,,,,,
,"鼻頭角步道
Bitou Cape Trail",新北市 New Taipei City,"2,760 ","3,550 ",2800 ,"11,200 ",6260 ,"6,725 ",7730 ,"5,875 ",5890 ,"7,545 ",3840 ,"4,231 ","68,406 ",,,,,,,,
,"舊草嶺隧道
The old Caoling Tunnel",新北市 New Taipei City,"8,026 ","9,189 ",8607 ,"9,262 ",19256 ,"29,219 ",20906 ,"21,181 ",20342 ,"20,039 ",16581 ,"9,651 ","192,259 ",,,,,,,,
